OrderID,Date,Region,Category,Product,CustomerSegment,Channel,UnitsSold,UnitPrice,DiscountPct,MarketingSpend,Sales,MarketingSpend_Missing,DayOfWeek,IsWeekend
100000,2024-01-01,West,Beauty,Moisturizer,Returning,Online,2,25.59,0.0,49.61,51.18,0,Monday,False
100001,2024-01-01,East,Home & Kitchen,Coffee Maker,New,Online,3,55.32,0.0,6.97,165.96,0,Monday,False
100002,2024-01-01,North,Beauty,Lipstick Set,Returning,In-Store,3,27.7,0.0,43.0,83.1,0,Monday,False
100003,2024-01-01,East,Electronics,Bluetooth Speaker,New,Marketplace,2,59.9,0.0,0.8,119.8,0,Monday,False
100004,2024-01-01,North,Beauty,Lipstick Set,Returning,In-Store,3,27.18,0.0,15.59,81.54,0,Monday,False
100005,2024-01-01,South,Home & Kitchen,Vacuum Cleaner,New,Marketplace,2,110.1,0.0,19.76,220.2,0,Monday,False
100006,2024-01-02,North,Electronics,Power Bank,New,Online,3,28.37,0.1,30.3,76.6,0,Tuesday,False
100007,2024-01-02,West,Home & Kitchen,Air Fryer,Loyalty,Marketplace,4,87.83,0.0,3.18,351.32,0,Tuesday,False
100008,2024-01-02,South,Beauty,Face Serum,Returning,In-Store,3,24.24,0.2,42.45,58.18,0,Tuesday,False
100009,2024-01-02,East,Apparel,Jacket,New,Online,2,94.81,0.0,5.39,189.62,0,Tuesday,False
100010,2024-01-02,North,Apparel,T-Shirt,New,Online,5,21.41,0.1,11.44,96.34,0,Tuesday,False
100012,2024-01-02,South,Beauty,Moisturizer,Returning,Marketplace,2,19.48,0.15,13.61,33.12,0,Tuesday,False
100013,2024-01-02,East,Electronics,Power Bank,New,Online,3,23.92,0.0,11.11,71.76,0,Tuesday,False
100014,2024-01-02,North,Beauty,Moisturizer,Loyalty,Online,1,23.4,0.0,12.34,23.4,0,Tuesday,False
100015,2024-01-02,East,Apparel,T-Shirt,New,Marketplace,3,19.85,0.0,25.13,59.55,0,Tuesday,False
100016,2024-01-02,North,Electronics,Power Bank,Loyalty,Online,2,24.06,0.0,29.63,48.12,0,Tuesday,False
